,song_name,song_lyrics
10,Saturday Night’s Alright (For Fighting),"Saturday Night’s Alright (For Fighting) Lyrics[Verse 1]
It's getting late, have you seen my mates?
Ma, tell me when the boys get here
It's seven o'clock and I wanna rock
Wanna get a belly full of beer
My old man's drunker than a barrel full of monkeys
And my old lady, she don't care
My sister looks cute in her braces and boots
A handful of grease in her hair

[Chorus]
Oh, don't give us none of your aggravation
We had it with your discipline
Oh, Saturday night's alright for fighting
Get a little action in
Get about as oiled as a diesel train
Gonna set this dance alight
'Cause Saturday night's the night I like
Saturday night's alright, alright, alright, ooh
[Verse 2]
Well, they're packed pretty tight in here tonight
I'm looking for a dolly who'll see me right
I may use a little muscle to get what I need
I may sink a little drink and shout out, ""She's with me!""
A couple of the sounds that I really like
Are the sounds of a switchblade and a motorbike
I'm a juvenile product of the working class
Whose best friend floats in the bottom of a glass

[Chorus]
Oh, don't give us none of your aggravation
We had it with your discipline
Saturday night's alright for fighting
Get a little action in
Get about as oiled as a diesel train
Gonna set this dance alight
'Cause Saturday night's the night I like
Saturday night's alright, alright, alright, ooh

[Guitar break]

[Chorus]
Oh, don't give us none of your aggravation
We had it with your discipline
'Cause Saturday night's alright for fighting
Get a little action in
Get about as oiled as a diesel train
Gonna set this dance alight
'Cause Saturday night's the night I like
Saturday night's alright, alright, alright, ooh
[Outro]
Saturday! Saturday! Saturday!
Saturday! Saturday! Saturday!
Saturday! Saturday! Saturday night's alright
Saturday! Saturday! Saturday!
Saturday! Saturday! Saturday!
Saturday! Saturday! Saturday night's alright
Saturday! Saturday! Saturday!
Saturday! Saturday! Saturday!
Saturday! Saturday! Saturday night's alright, whoo9Embed"
11,Daniel,"Daniel Lyrics[Verse 1]
Daniel is travelin' tonight on a plane
I can see the red taillights headin' for Spain
Oh, and I can see Daniel wavin' goodbye
God, it looks like Daniel
Must be the clouds in my eyes

[Verse 2]
They say Spain is pretty, though I've never been
And Daniel says it's the best place he's ever seen
Oh, and he should know, he's been there enough
Lord, I miss Daniel
Oh, I miss him so much

[Chorus]
Oh, Daniel, my brother, you are older than me
Do you still feel the pain of the scars that won't heal?
Your eyes have died, but you see more than I
Daniel, you're a star in the face of the sky
[Chorus]
Oh, Daniel, my brother, you are older than me
Do you still feel the pain of the scars that won't heal?
Your eyes have died, but you see more than I
Daniel, you're a star in the face of the sky

[Verse 1]
Daniel is travelin' tonight on a plane
I can see the red taillights headin' for Spain
Oh, and I can see Daniel wavin' goodbye
God, it looks like Daniel
Must be the clouds in my eyes

[Outro]
Oh God, it looks like Daniel
Must be the clouds in my eyes9Embed"
12,I Guess That’s Why They Call It the Blues,"I Guess That’s Why They Call It the Blues Lyrics[Verse 1]
Don't wish it away
Don't look at it like it's forever
Between you and me, I could honestly say
That things can only get better

[Pre-Chorus]
And while I'm away
Dust out the demons inside
And it won't be long before you and me run
To the place in our hearts where we hide

[Chorus]
And I guess that's why they call it the blues
Time on my hands could be time spent with you
Laughin' like children, livin' like lovers
Rollin' like thunder under the covers
And I guess that's why they call it the blues
[Verse 2]
Just stare into space
Picture my face in your hands
Live for each second without hesitation
And never forget I'm your man

[Pre-Chorus]
Wait on me, girl
Cry in the night if it helps
But more than ever, I simply love you
More than I love life itself

[Chorus]
And I guess that's why they call it the blues
Time on my hands could be time spent with you
Laughin' like children, livin' like lovers
Rollin' like thunder under the covers
And I guess that's why they call it the blues

[Harmonica solo: Stevie Wonder]

[Pre-Chorus]
Wait on me, girl
Cry in the night if it helps
But more than ever, I simply love you
More than I love life itself
[Chorus]
And I guess that's why they call it the blues
Time on my hands could be time spent with you
Laughin' like children, livin' like lovers
Rollin' like thunder under the covers
And I guess that's why they call it the blues

[Outro]
(Laughing like children, living like lovers)
And I guess that's why they call it the blues
(Laughing like children, living like lovers)
And I guess that's why they call it the blues
And I guess that's why they call it the blues8Embed"
13,Candle in the Wind 1997,"Candle in the Wind 1997 Lyrics[Verse 1]
Goodbye England's rose
May you ever grow in our hearts
You were the grace that placed itself
Where lives were torn apart
You called out to our country
And you whispered to those in pain
Now you belong to heaven
And the stars spell out your name

[Chorus]
And it seems to me you lived your life
Like a candle in the wind
Never fading with the sunset
When the rain set in
And your footsteps will always fall here
Along England's greenest hills
Your candle's burned out long before
Your legend ever will
[Verse 2]
Loveliness we've lost
These empty days without your smile
This torch, we'll always carry
For our nation's golden child
And even though we try
The truth brings us to tears
All our words cannot express
The joy you brought us through the years

[Chorus]
And it seems to me you lived your life
Like a candle in the wind
Never fading with the sunset
When the rain set in
And your footsteps will always fall here
Along England's greenest hills
Your candle's burned out long before
Your legend ever will

[Verse 3]
Goodbye England's rose
May you ever grow in our hearts
You were the grace that placed yourself
Where lives were torn apart
Goodbye England's rose
From a country lost without your soul
Who'll miss the wings of your compassion
More than you will ever know
[Chorus]
And it seems to me you lived your life
Like a candle in the wind
Never fading with the sunset
When the rain set in
And your footsteps will always fall here
Along England's greenest hills
Your candle's burned out long before
Your legend ever will

[Outro]
Your footsteps will always fall here
Along England's greenest hills
Your candle's burned out long before
Your legend ever will4Embed"
14,Sacrifice,"Sacrifice Lyrics[Verse 1]
It's a human sign
When things go wrong
When the scent of her lingers
And temptation's strong
Into the boundary
Of each married man
Sweet deceit comes callin'
And negativity lands

[Pre-Chorus]
Cold, cold heart
Hardened by you
Some things lookin' better, baby
Just passin' through
[Chorus]
And it's no sacrifice
Just a simple word
It's two hearts livin'
In two separate worlds
But it's no sacrifice
No sacrifice
It's no sacrifice at all

[Verse 2]
Mutual misunderstandin'
After the fact
Sensitivity builds a prison
In the final act
We lose direction
No stone unturned
No tears to damn you
When jealousy burns

[Pre-Chorus]
Cold, cold heart
Hardened by you
Some things lookin' better, baby
Just passin' through

[Chorus]
And it's no sacrifice
Just a simple word
It's two hearts livin'
In two separate worlds
But it's no sacrifice
No sacrifice
It's no sacrifice at all
[Pre-Chorus]
Cold, cold heart
Hardened by you
Some things lookin' better, baby
Just passin' through

[Chorus]
And it's no sacrifice
Just a simple word
It's two hearts livin'
In two separate worlds
But it's no sacrifice
No sacrifice
It's no sacrifice at all

[Outro]
No sacrifice at all
No sacrifice at all
No sacrifice at all
No sacrifice at all8Embed"
15,Border Song,"Border Song Lyrics[Verse 1]
Holy Moses, I have been removed
I have seen the spectre, he has been here too
Distant cousin from down the line
Brand of people who ain't my kind
Holy Moses, I have been removed

[Verse 2]
Holy Moses, I have been deceived
Now the wind has changed direction, and I'll have to leave
Won't you please excuse my frankness
But it's not my cup of tea
Holy Moses, I have been deceived

[Bridge]
I'm going back to the border where my affairs
My affairs ain't abused
I can't take any more bad water
Been poisoned from my head down to my shoes, oh
Holy Moses, I have been deceived
[Verse 3]
Holy Moses, let us live in peace
Let us strive to find a way to make all hatred cease
There's a man over there, what's his color? I don't care
He's my brother, let us live in peace, oh
He's my brother, let us live in peace, oh
He's my brother, let us, let us live in peace2Embed"
16,Levon,"Levon Lyrics[Verse 1]
Levon bears his war wound like a crown
He calls his child Jesus
'Cause he likes the name
And he sends him to the finest school in town
Levon, Levon likes his money
He makes a lot, they say
Spends his days countin'
In a garage by the motorway

[Pre-Chorus]
He was born a pauper to a pawn on a Christmas day
When the New York Times said ""God is dead
And the War's begun""
Alvin Tostig has a son today
[Chorus]
And he shall be Levon
And he shall be a good man
And he shall be Levon
In tradition with the family plan
And he shall be Levon
And he shall be a good man
He shall be Levon

[Verse 2]
Levon sells cartoon balloons in town
His family business thrives
Jesus blows up balloons all day
Sits on the porch swing, watchin' them fly
And Jesus, he wants to go to Venus
Leave Levon far behind
Take a balloon and go sailin'
While Levon, Levon slowly dies

[Pre-Chorus]
He was born a pauper to a pawn on a Christmas day
When the New York Times said ""God is dead
And the War's begun""
Alvin Tostig has a son today

[Chorus]
And he shall be Levon
And he shall be a good man
And he shall be Levon
In tradition with the family plan
Whoo! And he shall be Levon
And he shall be a good man
He shall be Levon
And he shall be Levon
And he shall be a good man
And he shall be Levon
In tradition with the family plan
Whoo! And he shall be Levon
And he shall be a good man
He shall be Levon
[Instrumental Outro]5Embed"
17,Someone Saved My Life Tonight,"Someone Saved My Life Tonight Lyrics[Verse 1]
When I think of those East End lights, muggy nights
The curtains drawn in the little room downstairs
Prima Donna, lord, you really shoulda been there
Sittin' like a princess perched in her electric chair
And it's one more beer, and I don't hear you anymore
We've all gone crazy lately
My friend's out there, rollin' 'round the basement floor (Ooh)

[Chorus]
And someone saved my life tonight, sugar bear (sugar bear)
You almost had your hooks in me, didn't you, dear?
You nearly had me roped and tied
Altar-bound, hypnotized, sweet freedom whispered in my ear
You're a butterfly, and butterflies are free to fly
Fly away, high away, bye-bye (Ooh)
[Piano riff]

[Verse 2]
I never realized the passin' hours of evening showers
A slip noose hangin' in my darkest dreams
I'm strangled by your haunted social scene
Just a pawn out-played by a dominating queen
It's four o'clock in the morning, damn it! Listen to me good
I'm sleepin' with myself tonight
Saved in time, thank God my music's still alive
(Oh!)

[Chorus]
Someone saved my life tonight, sugar bear
(Sugar bear, sugar bear)
You almost had your hooks in me, didn't you, dear?
You nearly had me roped and tied
Altar-bound, hypnotized, sweet freedom whispered in my ear
You're a butterfly, and butterflies are free to fly
Fly away, high away, bye-bye (Ooh)

[Piano riff]

[Bridge]
And I would've walked head-on into the deep end of the river
Clingin' to your stocks and bonds
Payin' your H.P. demands forever
They're comin' in the mornin' with a truck to take me home
Someone saved my life tonight
Someone saved my life tonight
Someone saved my life tonight
Someone saved my life tonight
Someone saved my life tonight
So save your strength, and run the field you play alone
[Chorus]
Someone saved my life tonight, sugar bear
(Sugar bear, sugar bear, sugar bear)
You almost had your hooks in me, didn't you, dear?
You nearly had me roped and tied
Altar-bound, hypnotized, sweet freedom whispered in my ear
You're a butterfly, and butterflies are free to fly
Fly away, high away, bye-bye

[Outro]
Someone saved, someone saved, someone saved my life tonight
(Someone saved my life tonight)
Someone saved, someone saved, someone saved my life tonight
(Someone saved my life tonight)
Someone saved, someone saved, someone saved my life tonight
(Someone saved my life tonight)
Someone saved, someone saved, someone saved my life tonight
(Someone saved my life tonight)
Someone saved, someone saved, someone saved my life tonight
(Someone saved my life tonight)
Someone saved, someone saved, someone saved my life tonight
(Someone saved my life tonight)
Someone saved, someone saved, someone saved my life tonight
(Someone saved my life tonight)Embed"
18,Mona Lisas and Mad Hatters,"Mona Lisas and Mad Hatters Lyrics[Verse 1]
And now I know
""Spanish Harlem"" are not just pretty words to say
I thought I knew
But now I know that rose trees never grow
In New York City

[Pre-Chorus]
Until you've seen this trash can dream come true
You stand at the edge while people run you through
And I thank the Lord there's people out there like you
I thank the Lord there's people out there like you

[Chorus]
While Mona Lisas and Mad Hatters
Sons of bankers, sons of lawyers
Turn around and say, ""Good morning"" to the night
For unless they see the sky
But they can't, and that is why
They know not if it's dark outside or light
[Verse 2]
This Broadway's got
It's got a lot of songs to sing
If I knew the tunes, I might join in
I'd go my way alone
I'd grow my own, my own seeds shall be sown in New York City

[Pre-Chorus]
Subway's no way for a good man to go down
Rich man can ride, and the hobo, he can drown
And I thank the Lord for the people I have found
I thank the Lord for the people I have found

[Chorus]
While Mona Lisas and Mad Hatters
Sons of bankers, sons of lawyers
Turn around and say, ""Good morning"" to the night
For unless they see the sky
But they can't, and that is why
They know not if it's dark outside or light

[Verse 1]
And now I know
""Spanish Harlem"" are not just pretty words to say
I thought I knew
But now I know that rose trees never grow
In New York City
[Pre-Chorus]
Subway's no way for a good man to go down
Rich man can ride, and the hobo, he can drown
And I thank the Lord for the people I have found
I thank the Lord for the people I have found

[Chorus]
While Mona Lisas and Mad Hatters
Sons of bankers, sons of lawyers
Turn around and say, ""Good morning"" to the night
For unless they see the sky
But they can't, and that is why
They know not if it's dark outside or light

[Outro]
They know not if it's dark outside or light5Embed"
19,Honky Cat,"Honky Cat Lyrics[Verse 1]
When I look back, boy, I must have been green
Bopping in the country, fishing in a stream
Looking for an answer, trying to find a sign
Until I saw your city lights, honey, I was blind

[Chorus 1]
They said, get back, honky cat
Better get back to the woods
But, I quit those days and my redneck ways
And, oh, change is gonna do me good
You better get back, honky cat
Living in the city ain't where it's at
It's like trying to find gold in a silver mine
It's like trying to drink whisky, oh, from a bottle of wine
[Verse 2]
Well, I read some books and I read some magazines
About those high-class ladies down in New Orleans
And all the fools back home, well, said I was a fool
They said, oh, ""Believe in the Lord"" is the golden rule

[Chorus 2]
They said, get back, honky cat
Better get back to the woods
But I quit those days and my redneck ways
And, ooh, oh, change is gonna do me good
(Ooh, baby)
They said, get back, honky cat
Better get back to the woods
Well, I quit those days and my redneck ways
And, oh, oh, change is gonna do me good

[Verse 3]
They said, stay at home, boy, you gotta tend the farm
Living in the city, boy, is, is gonna break your heart
But how can you stay when your heart says no
Ha, how can you stop when your feet say go

[Chorus 1]
You better get back, honky cat
Better get back to the woods
Well, I quit those days and my redneck ways
And, ooh, oh, the change is gonna do me good
You better get back, honky cat
Living in the city ain't where it's at
It's like trying to find gold in a silver mine
It's like trying to drink whisky, oh, from a bottle of wine
[Outro]
Oh yeah, get back, honky cat
Get back, honky cat, get back, whoo
Get back, honky cat
Get back, honky cat, get back, whoo
Oh, get back, honky cat, get back
Get back, honky cat, whoo
Oh yeah, redneck ways and
Whoo4Embed"
