,song_name,song_lyrics
10,Tequila Sunrise,"Tequila Sunrise Lyrics[​Instrumental Intro]

[Verse 1]
It's another tequila sunrise
Starin' slowly 'cross the sky, said goodbye
He was just a hired hand
Workin' on the dreams he planned to try
The days go by

[Bridge]
Every night when the sun goes down
Just another lonely boy in town
And she's out runnin' 'round

[Verse 2]
She wasn't just another woman
And I couldn't keep from comin' on
It's been so long
Oh, and it's a hollow feelin' when
It comes down to dealin' friends
It never ends
[Instrumental Interlude]​

[Verse 3]
Take another shot of courage
Wonder why the right words never come
You just get numb
It's another tequila sunrise, this old world
Still looks the same
Another frame, mmm3Embed"
11,Best of My Love,"Best of My Love Lyrics[Verse 1]
Every night I'm lying in bed
Holding you close in my dreams
Thinking about all the things that we said
And coming apart at the seams
We try to talk it over
But the words come out too rough

[Refrain]
I know you were trying
To give me the best of your love

[Verse 2]
Beautiful faces
And loud, empty places
Look at the way that we live
Wasting our time on cheap talk and wine
Left us so little to give
That same old crowd was like a cold dark cloud
That we could never rise above
[Refrain]
But here in my heart
I give you the best of my love

[Chorus]
Oh-oh-oh-oh, sweet darling
You get the best of my love
(You get the best of my love)
Oh-oh-oh-oh, sweet darling
You get the best of my love
(You get the best of my love)

[Bridge]
I'm going back in time
And it's a sweet dream
It was a quiet night
And I would be all right
If I could go on sleeping

[Verse 3]
But every morning
I wake up and worry
What's gonna happen today
You see it your way
And I see it mine
But we both see it slippin' away
You know we always had each other baby
I guess that wasn't enough
[Refrain]
Oh-uh-oh, but here in my heart
I give you the best of my love

[Chorus/Outro]
Oh-oh-oh-oh, sweet darling
You get the best of my love
(The best of my love)
Oh-oh-oh-oh, sweet darling
You get the best of my love
(The best of my love)
Oh-oh-oh-oh, sweet darling
Ev'ry night and day
(You get the best of my love)
(The best of my love)
Oh-oh-oh-oh, sweet darling
Ohohuh, ohohuh
(You get the best of my love)
(The best of my love)
Oh-oh-oh-oh, sweet darling
You get the best of my love
(The best of my love)
Oh-oh-oh-oh, sweet darling
Mhmhmhmh
You get the best of my love
(You get the best of my love)
(The best of my love)5Embed"
12,Peaceful Easy Feeling,"Peaceful Easy Feeling Lyrics[Instrumental Intro]

[Verse 1]
I like the way your sparkling earrings lay
Against your skin so brown
And I want to sleep with you in the desert tonight
With a billion stars all around

[Chorus]
'Cause I got a peaceful easy feelin'
And I know you won't let me down
'Cause I'm already standin'
On the ground

[Verse 2]
And I found out a long time ago
What a woman can do to your soul
Aw, but she can't take you anyway
You don't already know how to go
[Chorus]
And I got a peaceful easy feelin'
And I know you won't let me down
'Cause I'm already standin'
On the ground

[Instrumental Bridge]

[Verse 3]
I get this feelin' I may know you
As a lover and a friend
But this voice keeps whisperin' in my other ear
Tells me I may never see you again

[Chorus]
'Cause I get a peaceful easy feelin'
And I know you won't let me down
'Cause I'm already standin'
I'm already standin'
Yes, I'm already standin'
On the ground

[Outro]
Whoo oh ooh9Embed"
13,Witchy Woman,"Witchy Woman Lyrics[Verse 1: Don Henley]
Raven hair and ruby lips
Sparks fly from her fingertips
Echoed voices in the night
She's a restless spirit on an endless flight

[Chorus]
Woo hoo, witchy woman
See how high she flies
Woo hoo, witchy woman
She got the moon in her eye

[Verse 2: Don Henley]
She held me spellbound in the night (Woo-ooh)
Dancing shadows and firelight
Crazy laughter in another room (Woo-ooh)
And she drove herself to madness with a silver spoon
[Chorus]
Woo hoo, witchy woman
See how high she flies
Woo hoo, witchy woman
She got the moon in her eye

[Instrumental Bridge]

[Interlude]
Ah, oh ah ah (Waahaa)
Ah, oh ah ah (Waahaa)
Ah, oh ah ah
Ah, oh ah ah (Waahaa)
Ah, oh ah ah (Waahaa)
Ah, oh ah ah

[Verse 3: Don Henley]
Well, I know you want a lover, let me tell you brother
She's been sleeping in the devil's bed
And there's some rumors going round, someone's underground
She can rock you in the night time 'til your skin turns red

[Chorus]
Woo hoo, witchy woman
See how high she flies
Woo hoo, witchy woman
She got the moon in her eye9Embed"
14,I Can’t Tell You Why,"I Can’t Tell You Why Lyrics[Verse 1]
Look at us baby, up all night
Tearing our love apart
Aren't we the same two people who live
Through years in the dark? Ah ahh

[Pre-Chorus 1]
Every time I try to walk away
Something makes me turn around and stay

[Chorus 1]
And I can't tell you why

[Verse 2]
When we get crazy, it just ain't right
(Try to keep your head, little girl)
Girl, I get lonely, too
You don't have to worry, just hold on tight
(Don't get caught in your little world)
Cause I love you
[Pre-Chorus 2]
Nothing's wrong as far as I can see
We make it harder than it has to be

[Chorus 2]
And I can't tell you why
No, baby, I can't tell you why
I can't tell you why

[Guitar Solo]

[Pre-Chorus 1]
Every time I try to walk away
Something makes me turn around and stay

[Chorus 3]
And I can't tell you why
No, no baby, I can't tell you why
I can't tell you why
I can't tell you why

[Outro Guitar Solo]10Embed"
15,Please Come Home for Christmas,"Please Come Home for Christmas LyricsBells will be ringing this sad, sad news
Oh, what a Christmas to have the blues
My baby's gone, I have no friends
To wish me greetings once again
Choirs will be singing ""Silent Night""
Christmas carols by candlelight
Please come home for Christmas
Please come home for Christmas
If not for Christmas, by New Year's night
Friends and relations send salutations
Sure as the stars shine above
But this is Christmas, yes, Christmas my dear
The time of year to be with the ones you love
So won't you tell me you'll never more roam
Christmas and New Year's will find you home
There will be no more sorrow, no grief and pain
And I'll be happy, happy once again
Ooh, there'll be no more sorrow, no grief and pain
And I'll be happy, Christmas once again3Embed"
16,Already Gone,"Already Gone Lyrics[Verse 1]
Well, I heard some people talkin' just the other day
And they said you were gonna put me on a shelf
But let me tell you I got some news for you
And you'll soon find out it's true
And then you'll have to eat your lunch all by yourself

[Chorus]
'Cause I'm already gone
And I'm feelin' strong
I will sing this vict'ry song

[Post-Chorus]
Woo hoo hoo, my my
Woo hoo hoo

[Verse 2]
The letter that you wrote me
Made me stop and wonder why
But I guess you felt like you had to set things right
Just remember this, my girl, when you look up in the sky
You can see the stars and still not see the light
(That's right)
[Chorus]
And I'm already gone
And I'm feelin' strong
I will sing this vict'ry song

[Post-Chorus]
Woo hoo hoo, my my
Woo hoo hoo

[Instrumental Bridge]

[Verse 3]
Well, I know it wasn't you who held me down
Heaven knows it wasn't you who set me free
So oftentimes it happens that we live our lives in chains
And we never even know we have the key

[Chorus]
But me, I'm already gone
And I'm feelin' strong
I will sing (I will sing) this vict'ry song
'Cause I'm already gone
Yes, I'm already gone
And I'm feelin' strong
I will sing this vict'ry song
'Cause I'm already gone
[Outro]
Yes, I'm already gone
Already gone
All right, nighty-night
Already gone
Already gone
Already gone3Embed"
17,The Long Run,"The Long Run Lyrics[Verse 1]
I used to hurry a lot, I used to worry a lot
I used to stay out till the break of day
Oh, that didn't get it
It was high time I quit it
I just couldn't carry on that way

[Pre-Chorus 1]
Oh, I did some damage
I know it's true
Didn't know I was so lonely
Till I found you

[Chorus 1]
You can go the distance
We'll find out
In the long run (In the long run)
We can handle some resistance
If our love is a strong one (Is a strong one)

[Pre-Chorus 2]
People talking about us
They got nothin' else to do
When it all comes down
We will still come through
[Chorus 2]
In the long run
Ooh, I want to tell you
It's a long run

[Verse 2]
You know I don't understand
Why you don't treat yourself better
Do the crazy things that you do
Cause all the debutantes in Houston, baby
Couldn't hold a candle to you

[Pre-Chorus 3]
Did you do it for love?
Did you do it for money?
Did you do it for spite?
Did you think you had to, honey?

[Chorus 3]
Who is gonna make it?
We'll find out
In the long run (In the long run)
I know we can take it
If our love is a strong one (Is a strong one)

[Pre-Chorus 4]
Well, we're scared
But we ain't shakin'
Kinda bent
But we ain't breakin'
[Chorus 4]
In the long run
Ooh, I want to tell you
It's a long run
In the long run
In the long run

[Outro]
Gonna find out, ooh fa-fa-fa-find out
Long-long-long-long, long-long-long-long
Ooh, run-run-run, baby, run-run, baby
Long, long, long, long2Embed"
18,Doolin-Dalton,"Doolin-Dalton Lyrics[Verse]
They were dueling, Doolin-Dalton
High or low, it was the same
Easy money and faithless women
Red-eye whiskey for the pain
Go down, Bill Dalton, it must be God's will
Two brothers lying dead in Coffeyville
Two voices call to you from where they stood
Lay down your law books now
They're no damn good
Better keep on moving, Doolin-Dalton
Till your shadow sets you free
If you're fast, and if you're lucky
You will never see that hanging tree
Well, the towns lay out across the dusty plains
Like graveyards filled with tombstones, waiting for the names
And a man could use his back, or use his brains
But some just went stir crazy, Lord, cause nothing ever changed
Until Bill Doolin met Bill Dalton
He was working cheap, just biding time
Then he laughed and said, I'm going
And so he left that peaceful life behind
Mmh1Embed"
19,Love Will Keep Us Alive,"Love Will Keep Us Alive LyricsI was standing
All alone against the world outside
You were searching
For a place to hide
Lost and lonely
Now you've given me the will to survive
When we're hungry, love will keep us alive

Don't you worry
Sometimes you've just got to let it ride
The world is changing
Right before your eyes

Now I've found you
There's no more emptiness inside
When we're hungry, love will keep us alive
I would die for you
Climb the highest mountain
Baby, there's nothing I wouldn't do

Now I've found you
There's no more emptiness inside
When we're hungry, love will keep us alive

[Solo]

I would die for you
Climb the highest mountain
Baby, there's nothing I wouldn't do

I was standing
All alone against the world outside
You were searching
For a place to hide
Lost and lonely
Now you've given me the will to survive
When we're hungry, love will keep us alive
When we're hungry, love will keep us alive
When we're hungry, love will keep us alive1Embed"
